"品目コード","品目名称","２年売上"
"G123F224C-------N3","Ｆ２２４Ｃ　　Ｎ　　　２５",199975
"G123F224C----S--F7","Ｆ２２４Ｃ　　Ｆ　１０００　再",0
"G123F224N-------F7","Ｆ２２４Ｎ　　Ｆ　１０００",1444944
"G123F224N-------N3","Ｆ２２４Ｎ　　Ｎ　　　２５",600
"G123F224N----S--F7","Ｆ２２４Ｎ　　Ｆ　１０００　再",0
"G123F224N-B41---F7","Ｆ２２４Ｎ　　Ｆ　１０００　Ｂ４１",0
"G123F234--------F7","Ｆ２３４　　　Ｆ　１０００",419000
"G123F234--------N3",,0
"G123F234-----S--F7","Ｆ２３４　　　Ｆ　１０００　再",0
"G123F320--------N3","Ｆ３２０　　　Ｎ　　　２５",431150
"G123F320--B41---F7","Ｆ３２０　　　Ｆ　１０００　Ｂ４１",45000
"G123F320--B41---N3","Ｆ３２０　　　Ｎ　　　２５　Ｂ４１",55000
"G123F324C-------F7","Ｆ３２４Ｃ　　Ｆ　１０００",75000
"G123F324C-------N3","Ｆ３２４Ｃ　　Ｎ　　　２５",42875
"G123F333N-------N3","Ｆ３３３Ｎ　　Ｎ　　　２５",0
"G123F333N-B47---F3","Ｆ３３３Ｎ　　Ｆ　　５５０　Ｂ４７",0
"G123F422N-------F7","Ｆ４２２Ｎ　　Ｆ　１０００",133950
"G123F522--------F7","Ｆ５２２　　　Ｆ　１０００",554000
"G123F522--------N3","Ｆ５２２　　　Ｎ　　　２５",291925
"G123F522-----S--F7","Ｆ５２２　　　Ｆ　１０００　再",0
"G123F522--B31---N3","Ｆ５２２　　　Ｎ　　　２５　Ｂ３１",16650
"G123F522B-C17---N3","Ｆ５２２Ｂ　　Ｎ　　　２５　Ｃ１７",0
"G123F522N-------F7","Ｆ５２２Ｎ　　Ｆ　１０００",1000
"G123F522N-------N3","Ｆ５２２Ｎ　　Ｎ　　　２５",30750
"G123F522N----S--N3","Ｆ５２２Ｎ　　Ｎ　　　２５　再",0
"G123F522N-B42---F7","Ｆ５２２Ｎ　　Ｆ　１０００　Ｂ４２",922000
"G123F522N-B42---N3","Ｆ５２２Ｎ　　Ｎ　　　２５　Ｂ４２",1168600
